message_id,text,lang,source,intent_gold,generator_id,template_id,seed,split,length_chars,has_question_mark,applied_perturbations
msg_information_seeking_direct_0000,maybe What is cosine similarity? thank you,en,synthetic,information_seeking,direct,tpl_7e6089bc,1571306751,train_gen,42,True,inject_hedge;minor_typo;inject_politeness
msg_information_seeking_direct_0001,"I'm not sure but For a class, What is cross-validation?",en,synthetic,information_seeking,direct,tpl_7e6089bc,711621471,train_gen,55,True,minor_typo;inject_context_prefix;inject_hedge
msg_information_seeking_direct_0002,what is transformers,en,synthetic,information_seeking,direct,tpl_7e6089bc,1429319277,train_gen,20,False,lowercase_first_char;strip_end_punct;minor_typo
msg_information_seeking_direct_0003,"I'm not sure but What is tokenization, no code??",en,synthetic,information_seeking,direct,tpl_7e6089bc,1647999605,train_gen,48,True,inject_constraint_phrase;inject_hedge;extra_question_mark
msg_information_seeking_direct_0004,what is overfitting?,en,synthetic,information_seeking,direct,tpl_7e6089bc,1545524063,train_gen,20,True,minor_typo;synonym_swap;lowercase_first_char
msg_information_seeking_direct_0005,"I'm not sure but What is overfitting, no code?...",en,synthetic,information_seeking,direct,tpl_7e6089bc,1321275334,train_gen,49,True,inject_constraint_phrase;ellipsis;inject_hedge
msg_information_seeking_direct_0006,"What is sentence embeddings, no code??",en,synthetic,information_seeking,direct,tpl_7e6089bc,1681700205,train_gen,38,True,inject_constraint_phrase;synonym_swap;extra_question_mark
msg_information_seeking_direct_0007,I'm not sure but what is regularization? thank you,en,synthetic,information_seeking,direct,tpl_7e6089bc,880236376,train_gen,50,True,lowercase_first_char;inject_hedge;inject_politeness
msg_information_seeking_direct_0008,what is regularization? thanks,en,synthetic,information_seeking,direct,tpl_7e6089bc,1567117653,train_gen,30,True,lowercase_first_char;inject_politeness;minor_typo
msg_information_seeking_direct_0009,"In my project, What is transformers?, with an example?",en,synthetic,information_seeking,direct,tpl_7e6089bc,469390093,train_gen,54,True,inject_context_prefix;extra_question_mark;inject_constraint_phrase
msg_information_seeking_direct_0010,context: What is PCA??,en,synthetic,information_seeking,direct,tpl_7e6089bc,1827455576,train_gen,22,True,extra_question_mark;inject_context_prefix;lowercase_first_char
msg_information_seeking_direct_0011,"what is cosine similarity, no code??",en,synthetic,information_seeking,direct,tpl_7e6089bc,1712571197,train_gen,36,True,inject_constraint_phrase;lowercase_first_char;extra_question_mark
msg_information_seeking_direct_0012,"In my project, what is sentence embeddings?",en,synthetic,information_seeking,direct,tpl_7e6089bc,280646616,train_gen,43,True,lowercase_first_char;inject_context_prefix;synonym_swap
msg_information_seeking_direct_0013,what is transformers?,en,synthetic,information_seeking,direct,tpl_7e6089bc,1495086441,train_gen,21,True,minor_typo;synonym_swap;lowercase_first_char
msg_information_seeking_direct_0014,i think What is clustering??,en,synthetic,information_seeking,direct,tpl_7e6089bc,1733395257,train_gen,28,True,inject_hedge;lowercase_first_char;extra_question_mark
msg_information_seeking_direct_0015,Please what is regularization??,en,synthetic,information_seeking,direct,tpl_7e6089bc,1732459142,train_gen,31,True,lowercase_first_char;inject_politeness;extra_question_mark
msg_information_seeking_direct_0016,"what is sentence embeddings?, final answer only?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1335090736,train_gen,48,True,extra_question_mark;lowercase_first_char;inject_constraint_phrase
msg_information_seeking_direct_0017,What is regularization,en,synthetic,information_seeking,direct,tpl_7e6089bc,76560682,train_gen,22,False,synonym_swap;ellipsis;strip_end_punct
msg_information_seeking_direct_0018,"maybe Quick question, Could you What is gradient descent?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1516852069,train_gen,57,True,inject_politeness;inject_context_prefix;inject_hedge
msg_information_seeking_direct_0019,Context: What is regularization??,en,synthetic,information_seeking,direct,tpl_7e6089bc,509114047,train_gen,33,True,minor_typo;inject_context_prefix;extra_question_mark
msg_information_seeking_direct_0020,"At work, what is transformers?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1979695093,train_gen,30,True,lowercase_first_char;synonym_swap;inject_context_prefix
msg_information_seeking_direct_0021,"not sure if this is right, but What is gradient descent? thanks",en,synthetic,information_seeking,direct,tpl_7e6089bc,1058196492,train_gen,63,True,inject_hedge;synonym_swap;inject_politeness
msg_information_seeking_direct_0022,what is PCA??,en,synthetic,information_seeking,direct,tpl_7e6089bc,735373227,train_gen,13,True,extra_question_mark;lowercase_first_char;minor_typo
msg_information_seeking_direct_0023,"In my project, Please What is transformers, in 3 bullet points?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1347451066,train_gen,63,True,inject_constraint_phrase;inject_politeness;inject_context_prefix
msg_information_seeking_direct_0024,What is PCA?... (no code),en,synthetic,information_seeking,direct,tpl_7e6089bc,1963476881,train_gen,25,True,ellipsis;inject_constraint_phrase;minor_typo
msg_information_seeking_direct_0025,"For a class, Hey, What is clustering??",en,synthetic,information_seeking,direct,tpl_7e6089bc,1137548661,train_gen,38,True,inject_politeness;inject_context_prefix;extra_question_mark
msg_information_seeking_direct_0026,Context: I'm not sure but What is overfitting?,en,synthetic,information_seeking,direct,tpl_7e6089bc,863208941,train_gen,46,True,inject_hedge;inject_context_prefix;minor_typo
msg_information_seeking_direct_0027,What is transformers (no code)?,en,synthetic,information_seeking,direct,tpl_7e6089bc,289052463,train_gen,31,True,strip_end_punct;inject_constraint_phrase;extra_question_mark
msg_information_seeking_direct_0028,Can you What is regularization,en,synthetic,information_seeking,direct,tpl_7e6089bc,188464899,train_gen,30,False,ellipsis;strip_end_punct;inject_politeness
msg_information_seeking_direct_0029,what is regularization?,en,synthetic,information_seeking,direct,tpl_7e6089bc,310258888,train_gen,23,True,synonym_swap;lowercase_first_char;minor_typo
msg_information_seeking_direct_0030,"I'm not sure but Quick question, What is clustering?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1750070315,train_gen,52,True,inject_context_prefix;inject_hedge;synonym_swap
msg_information_seeking_direct_0031,what is gradient descent??...,en,synthetic,information_seeking,direct,tpl_7e6089bc,231207032,train_gen,29,True,extra_question_mark;ellipsis;lowercase_first_char
msg_information_seeking_direct_0032,"not sure if this is right, but What is regularization?...",en,synthetic,information_seeking,direct,tpl_7e6089bc,73617964,train_gen,57,True,inject_hedge;minor_typo;ellipsis
msg_information_seeking_direct_0033,I think What is regularization??,en,synthetic,information_seeking,direct,tpl_7e6089bc,845334424,train_gen,32,True,extra_question_mark;inject_hedge;minor_typo
msg_information_seeking_direct_0034,"Quick question, What is clustering, final answer only?",en,synthetic,information_seeking,direct,tpl_7e6089bc,846203264,train_gen,54,True,inject_context_prefix;minor_typo;inject_constraint_phrase
msg_information_seeking_direct_0035,Context: What is transformers?..?,en,synthetic,information_seeking,direct,tpl_7e6089bc,449211882,train_gen,33,True,ellipsis;extra_question_mark;inject_context_prefix
msg_information_seeking_direct_0036,"Can you for a class, What is gradient descent?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1223747138,train_gen,46,True,inject_context_prefix;lowercase_first_char;inject_politeness
msg_information_seeking_direct_0037,Could you I think What is tokenization?...,en,synthetic,information_seeking,direct,tpl_7e6089bc,844282230,train_gen,42,True,inject_hedge;ellipsis;inject_politeness
msg_information_seeking_direct_0038,"At work, maybe What is transformers?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1942734845,train_gen,36,True,inject_hedge;inject_context_prefix;synonym_swap
msg_information_seeking_direct_0039,"What is cosine similarity, no code?",en,synthetic,information_seeking,direct,tpl_7e6089bc,1349834843,train_gen,35,True,synonym_swap;minor_typo;inject_constraint_phrase
msg_information_seeking_direct_0040,"At work, maybe What is cross-validation? thank you",en,synthetic,information_seeking,direct,tpl_7e6089bc,53538893,train_gen,50,True,inject_hedge;inject_politeness;inject_context_prefix
